id,destination,weight,priority,senderName,receiverName,status,deliveryDate
PKG0072,Hyderabad,9.82,1,Saad Hameed,Maryam Khan,Delivered,09/07/2026
PKG0073,Sialkot,18.81,3,Hamza Sheikh,Amna Sheikh,In Transit,02/08/2026
PKG0074,Islamabad,10.03,3,Fatima Raza,Sara Qureshi,Out for Delivery,01/09/2026
PKG0075,Hyderabad,13.59,2,Ayesha Qureshi,Saad Malik,Pending,11/06/2026
PKG0076,Karachi,1.73,2,Bilal Sheikh,Ayesha Qureshi,Delivered,28/06/2026
PKG0077,Quetta,18.92,2,Zain Iqbal,Hussain Sheikh,Delivered,15/09/2026
PKG0078,Islamabad,25.0,2,Ahmed Qureshi,Ali Javed,In Transit,23/08/2026
PKG0079,Peshawar,5.38,1,Ahmed Khan,Hamza Khan,In Transit,01/07/2026
PKG0080,Hyderabad,23.72,2,Ayesha Qureshi,Bilal Ahmed,Delivered,07/09/2026
PKG0081,Lahore,19.56,1,Hussain Malik,Noor Hameed,Delivered,14/06/2026
PKG0082,Hyderabad,17.1,2,Noor Khan,Saad Raza,Out for Delivery,29/09/2026
PKG0083,Peshawar,3.0,2,Maryam Butt,Ahmed Hameed,Pending,10/09/2026
PKG0084,Multan,16.71,1,Noor Khan,Hussain Javed,Delivered,02/06/2026
PKG0085,Lahore,11.12,2,Amna Sheikh,Amna Qureshi,Out for Delivery,30/08/2026
PKG0086,Quetta,15.59,3,Ayesha Sheikh,Ayesha Javed,Out for Delivery,30/07/2026
PKG0087,Peshawar,20.85,1,Sara Hameed,Hassan Iqbal,Delivered,21/09/2026
PKG0088,Hyderabad,15.45,2,Zain Butt,Hamza Qureshi,Delivered,04/06/2026
PKG0089,Peshawar,9.19,2,Zain Iqbal,Ayesha Qureshi,Delivered,06/07/2026
PKG0090,Sialkot,0.75,1,Saad Hameed,Maryam Raza,Pending,01/07/2026
PKG0091,Peshawar,17.42,3,Maryam Sheikh,Zain Javed,Out for Delivery,28/07/2026
PKG0092,Peshawar,10.41,1,Hamza Khan,Ahmed Raza,Delivered,24/08/2026
PKG0093,Sialkot,8.92,3,Noor Iqbal,Zain Javed,Delivered,16/07/2026
PKG0094,Quetta,6.15,3,Maryam Qureshi,Hassan Raza,In Transit,11/07/2026
PKG0095,Peshawar,5.8,2,Ahmed Javed,Hamza Malik,Delivered,01/09/2026
PKG0096,Lahore,20.9,2,Noor Javed,Noor Raza,In Transit,17/07/2026
PKG0097,Karachi,7.22,1,Ayesha Raza,Ali Javed,Delivered,29/08/2026
PKG0098,Hyderabad,7.47,2,Ayesha Qureshi,Ahmed Khan,Out for Delivery,14/07/2026
PKG0099,Lahore,20.64,2,Ayesha Khan,Hassan Qureshi,Out for Delivery,10/06/2026
PKG0100,Hyderabad,23.75,1,Noor Khan,Ayesha Malik,In Transit,16/06/2026
PKG0101,Hyderabad,6.03,3,Usman Sheikh,Noor Hameed,Out for Delivery,28/07/2026
PKG0102,Multan,7.98,3,Saad Qureshi,Hassan Hameed,Pending,18/08/2026
PKG0103,Peshawar,6.98,1,Maryam Ahmed,Hamza Butt,In Transit,01/07/2026
PKG0104,Islamabad,10.51,3,Ayesha Javed,Ahmed Malik,Out for Delivery,08/07/2026
PKG0105,Rawalpindi,2.24,1,Ali Butt,Hassan Raza,Delivered,09/09/2026
PKG0106,Multan,3.31,1,Hamza Hameed,Bilal Butt,In Transit,25/09/2026
PKG0107,Karachi,19.92,3,Hassan Malik,Ahmed Khan,Delivered,27/07/2026
PKG0108,Multan,23.6,3,Ahmed Qureshi,Maryam Raza,Out for Delivery,27/07/2026
PKG0109,Faisalabad,15.29,1,Ahmed Hameed,Ali Sheikh,Pending,30/06/2026
PKG0110,Quetta,14.62,1,Bilal Hameed,Noor Khan,Out for Delivery,06/08/2026
PKG0111,Karachi,24.93,2,Bilal Qureshi,Saad Raza,Out for Delivery,12/06/2026
PKG0112,Faisalabad,16.92,1,Zain Iqbal,Sara Iqbal,Delivered,23/07/2026
PKG0113,Sialkot,1.4,1,Maryam Qureshi,Hassan Sheikh,Delivered,03/07/2026
PKG0114,Sialkot,20.71,1,Hussain Ahmed,Hamza Sheikh,Out for Delivery,23/07/2026
PKG0115,Hyderabad,19.03,3,Ali Butt,Usman Iqbal,Out for Delivery,06/09/2026
PKG0116,Karachi,23.23,2,Ali Butt,Hassan Javed,Out for Delivery,16/06/2026
PKG0117,Karachi,8.11,1,Ali Hameed,Hamza Butt,Out for Delivery,12/06/2026
PKG0118,Karachi,12.71,3,Fatima Ahmed,Zain Ahmed,Delivered,05/08/2026
PKG0119,Rawalpindi,6.47,3,Maryam Raza,Sara Qureshi,In Transit,20/07/2026
PKG0120,Lahore,7.27,2,Fatima Hameed,Usman Malik,Delivered,28/09/2026
PKG0121,Quetta,18.29,3,Hamza Javed,Hassan Khan,Out for Delivery,19/09/2026
PKG0122,Faisalabad,8.64,3,Ayesha Qureshi,Usman Qureshi,Out for Delivery,29/07/2026
PKG0123,Peshawar,14.51,1,Saad Iqbal,Amna Butt,Out for Delivery,06/06/2026
PKG0124,Multan,24.72,3,Hussain Qureshi,Maryam Sheikh,In Transit,03/08/2026
PKG0125,Faisalabad,21.81,2,Ali Malik,Usman Hameed,Pending,07/08/2026
PKG0126,Multan,21.84,1,Saad Qureshi,Ali Malik,Pending,31/07/2026
PKG0127,Multan,16.42,2,Hamza Raza,Hussain Hameed,Out for Delivery,11/07/2026
PKG0128,Islamabad,15.63,1,Bilal Qureshi,Amna Javed,Delivered,30/06/2026
PKG0129,Lahore,11.37,3,Maryam Ahmed,Sara Ahmed,Delivered,24/09/2026
PKG0130,Quetta,9.28,2,Ali Khan,Hussain Khan,In Transit,02/07/2026
PKG0131,Karachi,4.79,3,Usman Sheikh,Noor Malik,Out for Delivery,19/08/2026
PKG0132,Karachi,6.19,3,Bilal Butt,Zain Hameed,Delivered,29/07/2026
PKG0133,Quetta,17.1,1,Hassan Khan,Saad Qureshi,Pending,27/07/2026
PKG0134,Quetta,11.69,2,Hussain Hameed,Hassan Sheikh,In Transit,20/07/2026
PKG0135,Multan,14.51,3,Amna Qureshi,Ahmed Butt,Delivered,29/08/2026
PKG0136,Quetta,0.7,3,Hassan Khan,Amna Sheikh,Pending,25/09/2026
PKG0137,Peshawar,15.37,2,Noor Qureshi,Amna Raza,In Transit,21/08/2026
PKG0138,Lahore,22.63,3,Fatima Hameed,Hassan Malik,Pending,10/07/2026
PKG0139,Faisalabad,18.44,1,Hamza Qureshi,Ali Hameed,Delivered,12/07/2026
PKG0140,Karachi,19.77,2,Maryam Sheikh,Ayesha Butt,Delivered,15/09/2026
PKG0141,Quetta,18.79,2,Ayesha Raza,Saad Qureshi,Pending,30/07/2026
PKG0142,Multan,24.2,3,Ahmed Malik,Hamza Butt,Delivered,12/06/2026
PKG0143,Sialkot,3.53,2,Hamza Sheikh,Ali Raza,Delivered,14/08/2026
PKG0144,Rawalpindi,1.11,3,Sara Iqbal,Ahmed Butt,Delivered,26/09/2026
PKG0145,Rawalpindi,22.78,2,Noor Butt,Bilal Ahmed,Out for Delivery,15/06/2026
PKG0146,Rawalpindi,3.34,1,Ayesha Khan,Ali Raza,In Transit,20/07/2026
PKG0147,Multan,14.89,3,Zain Iqbal,Bilal Javed,In Transit,22/09/2026
PKG0148,Hyderabad,10.5,2,Sara Ahmed,Amna Qureshi,Pending,28/08/2026
PKG0149,Peshawar,21.46,1,Hussain Butt,Zain Qureshi,Delivered,09/08/2026
PKG0150,Quetta,5.15,1,Saad Iqbal,Ali Sheikh,Out for Delivery,12/06/2026
PKG0151,Islamabad,1.74,2,Bilal Butt,Bilal Hameed,In Transit,17/06/2026
PKG0152,Sialkot,5.58,1,Hamza Hameed,Fatima Ahmed,In Transit,13/07/2026
PKG0153,Islamabad,7.29,1,Hamza Malik,Hamza Hameed,In Transit,09/08/2026
PKG0154,Karachi,0.86,1,Hassan Malik,Ahmed Khan,Delivered,03/06/2026
PKG0155,Multan,13.39,3,Ayesha Raza,Ali Malik,Pending,31/07/2026
PKG0156,Lahore,11.57,1,Zain Iqbal,Usman Hameed,Pending,02/09/2026
PKG0157,Islamabad,1.99,2,Hamza Javed,Hassan Qureshi,Out for Delivery,25/07/2026
PKG0158,Lahore,22.53,2,Bilal Ahmed,Zain Qureshi,In Transit,09/06/2026
PKG0159,Sialkot,17.95,2,Ayesha Raza,Noor Hameed,Delivered,29/07/2026
PKG0160,Lahore,21.39,3,Usman Hameed,Sara Ahmed,In Transit,26/07/2026
PKG0161,Rawalpindi,10.27,3,Zain Butt,Sara Iqbal,Pending,11/07/2026
PKG0162,Faisalabad,23.86,3,Sara Iqbal,Bilal Raza,Out for Delivery,09/06/2026
PKG0163,Lahore,18.74,2,Ahmed Ahmed,Ahmed Sheikh,In Transit,11/08/2026
PKG0164,Faisalabad,16.92,2,Ali Hameed,Usman Javed,Delivered,20/09/2026
PKG0165,Quetta,15.21,2,Bilal Sheikh,Amna Khan,Pending,13/08/2026
PKG0166,Peshawar,21.26,2,Usman Butt,Ayesha Qureshi,Delivered,15/06/2026
PKG0167,Multan,21.21,3,Hamza Raza,Noor Butt,Pending,17/08/2026
PKG0168,Quetta,17.72,2,Saad Raza,Ali Malik,Delivered,15/07/2026
PKG0169,Hyderabad,16.6,1,Ali Malik,Amna Malik,In Transit,03/09/2026
PKG0170,Peshawar,9.72,2,Bilal Khan,Ahmed Javed,Delivered,21/06/2026
PKG0171,Hyderabad,15.11,1,Hussain Raza,Maryam Iqbal,In Transit,21/06/2026
PKG0172,Quetta,11.36,2,Hamza Hameed,Ali Ahmed,Out for Delivery,17/08/2026
PKG0173,Sialkot,3.29,2,Zain Sheikh,Hassan Butt,Pending,07/07/2026
PKG0174,Quetta,1.61,2,Bilal Hameed,Zain Javed,Pending,01/06/2026
PKG0175,Quetta,7.59,1,Fatima Raza,Fatima Malik,Pending,03/08/2026
PKG0176,Multan,13.55,1,Maryam Sheikh,Ayesha Malik,Delivered,10/06/2026
PKG0177,Rawalpindi,23.07,2,Sara Khan,Sara Khan,Out for Delivery,13/08/2026
PKG0178,Multan,1.01,2,Sara Sheikh,Hassan Ahmed,In Transit,11/09/2026
PKG0179,Lahore,11.2,1,Noor Qureshi,Amna Iqbal,In Transit,26/07/2026
PKG0180,Multan,21.83,3,Noor Sheikh,Usman Ahmed,Delivered,29/06/2026
PKG0027_1,Peshawar,2.81,3,Hamza Qureshi,Hamza Sheikh,Out for Delivery,2025-03-25
PKG0062_2,Peshawar,20.26,1,Amna Butt,Bilal Raza,Pending,2026-01-14
PKG0044_3,Quetta,1.58,2,Saad Khan,Ahmed Sheikh,In Transit,2024-08-28
PKG0053_4,Lahore,21.99,2,Amna Javed,Hussain Khan,In Transit,2025-11-20
PKG0045_5,Sialkot,17.79,3,Hassan Malik,Maryam Qureshi,Pending,2024-01-12
PKG0180_6,Multan,21.83,3,Noor Sheikh,Usman Ahmed,Delivered,2024-10-09
PKG0074_7,Islamabad,10.03,3,Fatima Raza,Sara Qureshi,Out for Delivery,2025-10-31
PKG0002_8,Multan,1.28,1,Maryam Javed,Ahmed Hameed,In Transit,2024-09-15
PKG0066_9,Rawalpindi,3.77,2,Usman Butt,Saad Ahmed,Delivered,2026-03-02
PKG0008_10,Karachi,9.57,1,Hassan Qureshi,Bilal Iqbal,Delivered,2024-12-24
PKG0115_11,Hyderabad,19.03,3,Ali Butt,Usman Iqbal,Out for Delivery,2026-06-15
PKG0007_12,Quetta,24.64,1,Fatima Ahmed,Ali Butt,Pending,2024-12-04
PKG0166_13,Peshawar,21.26,2,Usman Butt,Ayesha Qureshi,Delivered,2024-08-19
PKG0020_14,Peshawar,22.01,1,Hussain Raza,Fatima Khan,Pending,2024-08-12
PKG0109_15,Faisalabad,15.29,1,Ahmed Hameed,Ali Sheikh,Pending,2026-03-22
PKG0111_16,Karachi,24.93,2,Bilal Qureshi,Saad Raza,Out for Delivery,2026-01-21
PKG0043_17,Peshawar,17.34,2,Hassan Hameed,Fatima Iqbal,Out for Delivery,2024-01-30
PKG0063_18,Rawalpindi,10.65,3,Fatima Qureshi,Noor Ahmed,In Transit,2024-03-25
PKG0157_19,Islamabad,1.99,2,Hamza Javed,Hassan Qureshi,Out for Delivery,2025-06-23
PKG0112_20,Faisalabad,16.92,1,Zain Iqbal,Sara Iqbal,Delivered,2024-01-09
PKG0031_21,Lahore,23.2,1,Bilal Javed,Amna Khan,In Transit,2024-05-18
PKG0002_22,Multan,1.28,1,Maryam Javed,Ahmed Hameed,In Transit,2026-04-14
PKG0113_23,Sialkot,1.4,1,Maryam Qureshi,Hassan Sheikh,Delivered,2025-10-25
PKG0102_24,Multan,7.98,3,Saad Qureshi,Hassan Hameed,Pending,2024-08-13
PKG0163_25,Lahore,18.74,2,Ahmed Ahmed,Ahmed Sheikh,In Transit,2025-07-29
PKG0119_26,Rawalpindi,6.47,3,Maryam Raza,Sara Qureshi,In Transit,2024-09-20
PKG0093_27,Sialkot,8.92,3,Noor Iqbal,Zain Javed,Delivered,2026-03-02
PKG0019_28,Hyderabad,8.44,1,Hamza Javed,Saad Khan,Pending,2024-12-16
PKG0035_29,Karachi,1.89,3,Noor Qureshi,Usman Javed,Pending,2025-10-07
PKG0096_30,Lahore,20.9,2,Noor Javed,Noor Raza,In Transit,2025-02-14
PKG0119_31,Rawalpindi,6.47,3,Maryam Raza,Sara Qureshi,In Transit,2026-03-06
PKG0180_32,Multan,21.83,3,Noor Sheikh,Usman Ahmed,Delivered,2025-02-09
PKG0061_33,Quetta,13.13,3,Zain Malik,Bilal Ahmed,Delivered,2024-02-06
PKG0087_34,Peshawar,20.85,1,Sara Hameed,Hassan Iqbal,Delivered,2024-04-23
PKG0075_35,Hyderabad,13.59,2,Ayesha Qureshi,Saad Malik,Pending,2024-07-04
PKG0117_36,Karachi,8.11,1,Ali Hameed,Hamza Butt,Out for Delivery,2024-06-03
PKG0055_37,Peshawar,6.74,3,Usman Ahmed,Sara Hameed,Out for Delivery,2026-05-24
PKG0034_38,Sialkot,1.99,2,Hassan Butt,Ali Hameed,Pending,2025-04-03
PKG0139_39,Faisalabad,18.44,1,Hamza Qureshi,Ali Hameed,Delivered,2024-03-19
PKG0152_40,Sialkot,5.58,1,Hamza Hameed,Fatima Ahmed,In Transit,2024-08-26
PKG0127_41,Multan,16.42,2,Hamza Raza,Hussain Hameed,Out for Delivery,2026-02-25
PKG0131_42,Karachi,4.79,3,Usman Sheikh,Noor Malik,Out for Delivery,2025-08-25
PKG0168_43,Quetta,17.72,2,Saad Raza,Ali Malik,Delivered,2025-10-09
PKG0097_44,Karachi,7.22,1,Ayesha Raza,Ali Javed,Delivered,2026-03-03
PKG0083_45,Peshawar,3.0,2,Maryam Butt,Ahmed Hameed,Pending,2026-04-08
PKG0064_46,Peshawar,4.12,3,Maryam Sheikh,Zain Sheikh,Pending,2026-05-05
PKG0126_47,Multan,21.84,1,Saad Qureshi,Ali Malik,Pending,2024-01-11
PKG0166_48,Peshawar,21.26,2,Usman Butt,Ayesha Qureshi,Delivered,2024-01-31
PKG0165_49,Quetta,15.21,2,Bilal Sheikh,Amna Khan,Pending,2024-02-16
PKG0047_50,Faisalabad,5.65,1,Ali Raza,Hussain Khan,Pending,2024-11-26
PKG0174_51,Quetta,1.61,2,Bilal Hameed,Zain Javed,Pending,2025-11-04
PKG0062_52,Peshawar,20.26,1,Amna Butt,Bilal Raza,Pending,2024-05-15
PKG0166_53,Peshawar,21.26,2,Usman Butt,Ayesha Qureshi,Delivered,2024-07-10
PKG0045_54,Sialkot,17.79,3,Hassan Malik,Maryam Qureshi,Pending,2026-05-13
PKG0113_55,Sialkot,1.4,1,Maryam Qureshi,Hassan Sheikh,Delivered,2024-02-14
PKG0146_56,Rawalpindi,3.34,1,Ayesha Khan,Ali Raza,In Transit,2025-05-26
PKG0124_57,Multan,24.72,3,Hussain Qureshi,Maryam Sheikh,In Transit,2025-12-04
PKG0129_58,Lahore,11.37,3,Maryam Ahmed,Sara Ahmed,Delivered,2024-09-24
PKG0051_59,Peshawar,5.96,3,Fatima Qureshi,Hussain Raza,In Transit,2024-06-09
PKG0077_60,Quetta,18.92,2,Zain Iqbal,Hussain Sheikh,Delivered,2026-03-23
PKG0076_61,Karachi,1.73,2,Bilal Sheikh,Ayesha Qureshi,Delivered,2025-03-31
PKG0167_62,Multan,21.21,3,Hamza Raza,Noor Butt,Pending,2024-02-07
PKG0128_63,Islamabad,15.63,1,Bilal Qureshi,Amna Javed,Delivered,2025-11-18
PKG0142_64,Multan,24.2,3,Ahmed Malik,Hamza Butt,Delivered,2025-08-27
PKG0011_65,Faisalabad,5.71,2,Hassan Ahmed,Fatima Hameed,Out for Delivery,2024-01-31
PKG0135_66,Multan,14.51,3,Amna Qureshi,Ahmed Butt,Delivered,2025-12-26
PKG0126_67,Multan,21.84,1,Saad Qureshi,Ali Malik,Pending,2025-08-20
PKG0066_68,Rawalpindi,3.77,2,Usman Butt,Saad Ahmed,Delivered,2025-12-21
PKG0001_69,Peshawar,5.97,3,Bilal Ahmed,Ali Raza,Pending,2025-10-31
PKG0069_70,Quetta,6.25,2,Fatima Raza,Zain Ahmed,Delivered,2024-02-06
PKG0072_71,Hyderabad,9.82,1,Saad Hameed,Maryam Khan,Delivered,2026-04-27
PKG0055_72,Peshawar,6.74,3,Usman Ahmed,Sara Hameed,Out for Delivery,2025-04-25
PKG0169_73,Hyderabad,16.6,1,Ali Malik,Amna Malik,In Transit,2025-08-18
PKG0072_74,Hyderabad,9.82,1,Saad Hameed,Maryam Khan,Delivered,2025-01-10
PKG0094_75,Quetta,6.15,3,Maryam Qureshi,Hassan Raza,In Transit,2024-06-17
PKG0124_76,Multan,24.72,3,Hussain Qureshi,Maryam Sheikh,In Transit,2024-08-25
PKG0173_77,Sialkot,3.29,2,Zain Sheikh,Hassan Butt,Pending,2025-02-28
PKG0047_78,Faisalabad,5.65,1,Ali Raza,Hussain Khan,Pending,2026-06-19
PKG0180_79,Multan,21.83,3,Noor Sheikh,Usman Ahmed,Delivered,2024-07-28
PKG0114_80,Sialkot,20.71,1,Hussain Ahmed,Hamza Sheikh,Out for Delivery,2026-01-05
PKG0104_81,Islamabad,10.51,3,Ayesha Javed,Ahmed Malik,Out for Delivery,2024-10-03
PKG0046_82,Faisalabad,14.77,1,Ahmed Malik,Usman Khan,Out for Delivery,2026-06-03
PKG0033_83,Sialkot,16.72,2,Saad Qureshi,Hassan Sheikh,In Transit,2025-12-26
PKG0060_84,Rawalpindi,11.32,3,Noor Hameed,Bilal Iqbal,In Transit,2025-03-23
PKG0024_85,Hyderabad,14.07,3,Fatima Ahmed,Hussain Khan,In Transit,2024-06-09
PKG0079_86,Peshawar,5.38,1,Ahmed Khan,Hamza Khan,In Transit,2024-01-15
PKG0078_87,Islamabad,25.0,2,Ahmed Qureshi,Ali Javed,In Transit,2024-07-10
PKG0071_88,Rawalpindi,10.69,1,Sara Sheikh,Hussain Javed,Out for Delivery,2024-02-28
PKG0152_89,Sialkot,5.58,1,Hamza Hameed,Fatima Ahmed,In Transit,2024-10-23
PKG0069_90,Quetta,6.25,2,Fatima Raza,Zain Ahmed,Delivered,2026-02-23
PKG0138_91,Lahore,22.63,3,Fatima Hameed,Hassan Malik,Pending,2026-03-13
PKG0021_92,Karachi,3.65,2,Zain Ahmed,Hamza Javed,In Transit,2025-03-04
PKG0144_93,Rawalpindi,1.11,3,Sara Iqbal,Ahmed Butt,Delivered,2026-04-05
PKG0100_94,Hyderabad,23.75,1,Noor Khan,Ayesha Malik,In Transit,2024-02-21
PKG0138_95,Lahore,22.63,3,Fatima Hameed,Hassan Malik,Pending,2025-02-27
PKG0001_96,Peshawar,5.97,3,Bilal Ahmed,Ali Raza,Pending,2024-07-06
PKG0119_97,Rawalpindi,6.47,3,Maryam Raza,Sara Qureshi,In Transit,2025-09-20
PKG0177_98,Rawalpindi,23.07,2,Sara Khan,Sara Khan,Out for Delivery,2025-06-29
PKG0032_99,Islamabad,4.53,1,Zain Qureshi,Fatima Sheikh,Out for Delivery,2024-03-17
PKG0098_100,Hyderabad,7.47,2,Ayesha Qureshi,Ahmed Khan,Out for Delivery,2024-06-15
PKG0127_101,Multan,16.42,2,Hamza Raza,Hussain Hameed,Out for Delivery,2026-01-09
PKG0097_102,Karachi,7.22,1,Ayesha Raza,Ali Javed,Delivered,2024-06-02
PKG0058_103,Peshawar,10.8,2,Maryam Raza,Usman Malik,In Transit,2025-01-08
PKG0037_104,Multan,16.61,3,Noor Khan,Noor Ahmed,Delivered,2025-03-17
PKG0141_105,Quetta,18.79,2,Ayesha Raza,Saad Qureshi,Pending,2024-09-26
PKG0098_106,Hyderabad,7.47,2,Ayesha Qureshi,Ahmed Khan,Out for Delivery,2025-05-25
PKG0177_107,Rawalpindi,23.07,2,Sara Khan,Sara Khan,Out for Delivery,2026-05-10
PKG0103_108,Peshawar,6.98,1,Maryam Ahmed,Hamza Butt,In Transit,2024-06-13
